feature_set,n_features,task,model,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,train_time_s
DE+Hjorth,224,dominance,LogisticRegression,0.5372063492063491,0.05574176983428137,0.4898445663786715,0.05432990473696333,0.5186340959225103,0.057257877197406284,0.8966097831726074
DE+Hjorth,224,dominance,RandomForest,0.5578968253968254,0.06052677497428811,0.4261457539492395,0.031293469274078826,0.4687893692998079,0.031023519900446127,10.15356764793396
DE+Hjorth,224,dominance,XGBoost,0.5586111111111112,0.06979874471954556,0.4782309617496024,0.025662142555608072,0.4791841546469879,0.03434387926272883,6.219807052612305
DE+Hjorth,224,liking,LogisticRegression,0.5785079365079365,0.03463335112036017,0.48501349164939767,0.030186379002388474,0.4603229017800034,0.021354996556788446,0.7217824935913086
DE+Hjorth,224,liking,RandomForest,0.6415714285714286,0.020468548623223042,0.45935457886775943,0.05520608392589634,0.5213153860801787,0.04838568317836975,11.321877574920654
DE+Hjorth,224,liking,XGBoost,0.6359603174603174,0.022179458570129637,0.4528910190823014,0.06272482294521523,0.5078102567590183,0.018838706275069724,6.219994592666626
DE+FAA,142,valence,LogisticRegression,0.6715793650793651,0.14201895417841576,0.44492115757605444,0.01595253392013562,0.4489453898198109,0.01918245623219942,0.17737765312194825
DE+FAA,142,valence,RandomForest,0.7762936507936508,0.06600541055645456,0.448116628572995,0.015391554014164796,0.5014290639245692,0.07723635878492381,9.102550888061524
DE+FAA,142,valence,XGBoost,0.7560873015873015,0.07620835500380513,0.44935503839868096,0.022702595609253723,0.4573450391695001,0.06260130307899164,3.4964483261108397
DE+FAA,142,arousal,LogisticRegression,0.6658650793650794,0.05867542494577603,0.4803584607079638,0.029889819155856732,0.4616159063781364,0.06158798816704983,0.19808502197265626
DE+FAA,142,arousal,RandomForest,0.7659761904761904,0.03068120680884577,0.43678955936166697,0.012374177684553995,0.48099503615691963,0.04829290150982709,8.332056522369385
DE+FAA,142,arousal,XGBoost,0.752531746031746,0.029389540969837195,0.44499116618734896,0.016134797874824438,0.49100877126258646,0.04644029146709478,3.453186368942261
DE+FAA,142,dominance,LogisticRegression,0.5178650793650793,0.08476302129042879,0.4647822904766433,0.06360424281419574,0.5004217994456361,0.04783511715033606,0.19196290969848634
DE+FAA,142,dominance,RandomForest,0.5789285714285715,0.05699400531171153,0.4374115502936771,0.05132065372820014,0.49104192446146955,0.038643924929999386,8.5488835811615
DE+FAA,142,dominance,XGBoost,0.574563492063492,0.04320156648126165,0.4894344279789144,0.01982789988521859,0.5156292261713272,0.02779491368581183,3.6311635971069336
DE+FAA,142,liking,LogisticRegression,0.5705714285714286,0.050501676642101624,0.4486791798236718,0.028547542479922666,0.42388516547247546,0.01639696914672837,0.20131521224975585
DE+FAA,142,liking,RandomForest,0.6366111111111111,0.02479780288587566,0.44906433049555605,0.03919821279257643,0.5263788515059231,0.04327170623777102,9.005478763580323
DE+FAA,142,liking,XGBoost,0.6268888888888889,0.03424859055348817,0.4395845998505899,0.03711447888721416,0.49498052726293135,0.021586713236839916,4.691548109054565
DE+Connectivity,185,valence,LogisticRegression,0.6568888888888889,0.12692812691288127,0.4640582938140362,0.03318749700804986,0.4592376023136925,0.02576420025808067,0.2799704074859619
DE+Connectivity,185,valence,RandomForest,0.7782301587301588,0.0696393161492953,0.44421373981601153,0.016986511335993514,0.4828330828117492,0.06609212011772281,12.263199996948241
DE+Connectivity,185,valence,XGBoost,0.7666190476190476,0.05063735719619025,0.453044691346956,0.025008921614254997,0.47557486777723107,0.062455751414897544,5.884328031539917
DE+Connectivity,185,arousal,LogisticRegression,0.6177539682539682,0.05591861668408769,0.4817190273050175,0.03222300324785539,0.46400183760068014,0.08003868093756271,0.35521798133850097
DE+Connectivity,185,arousal,RandomForest,0.7667857142857143,0.03150611225777301,0.43430721155019175,0.010528201215045474,0.48804810662264264,0.05073458144478636,11.173489904403686
