task,model,condition,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
dominance,XGBoost,ea_coral,0.5755079365079364,0.03609361384920316,0.4883147622771663,0.01870299129596589,0.5263352456546191,0.03288594236083097
liking,LogisticRegression,none,0.5708412698412698,0.049794443932134204,0.4495954125496836,0.02873033405960876,0.4235953890412226,0.016187875576413293
liking,LogisticRegression,coral,0.6099682539682539,0.04752363457040672,0.42780499450684123,0.014082562209615408,0.4418135963319044,0.02001938562828402
liking,LogisticRegression,ea,0.6222380952380953,0.03460474002575276,0.44378293871487207,0.021621436223334164,0.46829257966473936,0.029050533315457636
liking,LogisticRegression,ea_coral,0.6328095238095238,0.032049423284668,0.43484970964068037,0.02463385426596359,0.47384538804333837,0.028103692217778253
liking,RandomForest,none,0.6427063492063493,0.017975257518100418,0.4468825073835708,0.04882994965104677,0.5279768819968277,0.037577404838327284
liking,RandomForest,coral,0.630531746031746,0.017437927563568722,0.4548606713779589,0.03867874034021146,0.4877421764604593,0.04641662345852139
liking,RandomForest,ea,0.6581269841269842,0.026897640931492793,0.41866472546718486,0.017435920903364127,0.4895456812081756,0.04531268779559783
liking,RandomForest,ea_coral,0.6567777777777779,0.025160567130372805,0.4155531331537918,0.014400213138423943,0.4794585905813453,0.043094571107101284
liking,XGBoost,none,0.6347539682539682,0.03377228228732004,0.451967087922557,0.05523789054763383,0.5113555551493144,0.020678636862649515
liking,XGBoost,coral,0.6258015873015873,0.02008838965275757,0.46036241943621137,0.054265983362794354,0.49651163709801527,0.039558673597247025
liking,XGBoost,ea,0.6423015873015874,0.024096926112526507,0.45650979543247666,0.020181363207700937,0.4974966867862163,0.025737958659927875
liking,XGBoost,ea_coral,0.6339444444444445,0.025281275455105817,0.45027793504243563,0.013265062106980696,0.48889846838346324,0.023071119231405285
