variant,task,model,n_windows,n_subjects,class_balance_high_frac,n_folds_valid,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
per_subject_z,valence,XGBoost,19200,32,0.47265625,5,0.5226190476190476,0.013626865101956829,0.5154871307672155,0.016994675613413928,0.5334000735000115,0.017276578436953214
per_subject_z,arousal,LogisticRegression,19200,32,0.4234375,5,0.49164285714285716,0.02450620290562371,0.4727832793032255,0.01808642885196379,0.483173039629042,0.02856873716051574
per_subject_z,arousal,RandomForest,19200,32,0.4234375,5,0.5595396825396826,0.023270106540422664,0.4393487336800746,0.029328213955619322,0.509032997842546,0.017146013049607684
per_subject_z,arousal,XGBoost,19200,32,0.4234375,5,0.5500317460317461,0.014178705257943512,0.4703044835578572,0.02590035688087786,0.5100828684286555,0.02599420785990301
per_subject_z,dominance,LogisticRegression,19200,32,0.540625,5,0.5093095238095238,0.026404751170078105,0.5003491903256573,0.026627194328866316,0.5201298541542932,0.03088356848786288
per_subject_z,dominance,RandomForest,19200,32,0.540625,5,0.5221428571428571,0.01782645069606534,0.49662825895957496,0.02323147971940273,0.5081497861040433,0.027018942434240887
per_subject_z,dominance,XGBoost,19200,32,0.540625,5,0.515436507936508,0.02612990530738949,0.5007836791237303,0.020216917275537056,0.5086432057928137,0.027837206962161336
per_subject_z,liking,LogisticRegression,19200,32,0.590625,5,0.5116904761904761,0.03697203929109677,0.4739391992624472,0.02900540507705874,0.49473673250050265,0.027404124130798048
per_subject_z,liking,RandomForest,19200,32,0.590625,5,0.559142857142857,0.010654543907202045,0.4922722784403798,0.026464171035660178,0.5410264306916894,0.017366583464813155
per_subject_z,liking,XGBoost,19200,32,0.590625,5,0.5499444444444445,0.026967688737221506,0.49530961264714424,0.03166718199673126,0.5300750729506365,0.01534856813368362
drop_middle,valence,LogisticRegression,11520,32,0.22395833333333334,5,0.6227117355983873,0.12994705595355183,0.47292482112517736,0.04277759878327077,0.4466866604337703,0.07676547682995459
drop_middle,valence,RandomForest,11520,32,0.22395833333333334,5,0.7691501223445668,0.07979721882176162,0.43963499927319666,0.022134328400375578,0.4338887888941378,0.08922031839882755
drop_middle,valence,XGBoost,11520,32,0.22395833333333334,5,0.7658922026052897,0.07582592587448302,0.4393964749791933,0.024833504724348324,0.41853681618699434,0.0438335194502789
drop_middle,arousal,LogisticRegression,11370,32,0.28891820580474936,5,0.6045791087135491,0.0976454755489795,0.4944692326332193,0.06255232419993956,0.49227808663706474,0.07772739319959451
drop_middle,arousal,RandomForest,11370,32,0.28891820580474936,5,0.7087402472666348,0.06998248397239348,0.41575490709947943,0.023382535199720656,0.4586943179739581,0.05659950547774748
drop_middle,arousal,XGBoost,11370,32,0.28891820580474936,5,0.6958272058292531,0.06691193253372309,0.43855453451808,0.042940166300883,0.4374812259862339,0.0606635485110754
drop_middle,dominance,LogisticRegression,11175,32,0.7355704697986577,5,0.6356677677324093,0.08848477738077498,0.5318070985634785,0.05789478753459422,0.6065446024288639,0.07888689202014934
drop_middle,dominance,RandomForest,11175,32,0.7355704697986577,5,0.7202591323220077,0.09172906403378119,0.4361884882988865,0.024860693790840133,0.4927833993228633,0.04259842902160608
drop_middle,dominance,XGBoost,11175,32,0.7355704697986577,5,0.7189984279581594,0.07908031895687426,0.4737826605673769,0.030616429438182418,0.5117257670671974,0.04984138890533256
drop_middle,liking,LogisticRegression,14265,32,0.7423764458464774,5,0.5940720098566634,0.06282878979711957,0.49549826724816726,0.04026864393551977,0.4987519863914617,0.07230950989101127
drop_middle,liking,RandomForest,14265,32,0.7423764458464774,5,0.7322890083033349,0.07860881279658864,0.4753868508414115,0.06220689176128058,0.5471971069012685,0.10214820354075112
drop_middle,liking,XGBoost,14265,32,0.7423764458464774,5,0.7193756969902685,0.07801268372457705,0.45938858542858146,0.037649061918200694,0.5034061188676221,0.08229956490646323
