task,subject,n_calib_windows,n_eval_windows,zeroshot_accuracy,zeroshot_f1,zeroshot_auc,calibrated_accuracy,calibrated_f1,calibrated_auc,calibration_skipped_single_class
arousal,30,120,480,0.8416666666666667,0.45701357466063347,0.44258064516129036,0.9270833333333334,0.4810810810810811,0.3675985663082437,False
arousal,31,120,480,0.6479166666666667,0.393173198482933,0.486945646945647,0.6770833333333334,0.5087130791936028,0.5807407407407408,False
arousal,32,120,480,0.59375,0.37254901960784315,0.45110211426000896,0.5666666666666667,0.566598947752253,0.6254430949167791,False
dominance,1,120,480,0.6541666666666667,0.3954659949622166,0.4751322751322752,0.5041666666666667,0.4551282051282052,0.458951418951419,False
dominance,2,120,480,0.6479166666666667,0.5001201634222543,0.5503030303030303,0.6208333333333333,0.5128370993285896,0.553035113035113,False
dominance,3,120,480,0.4375,0.3329902213072568,0.5231393298059965,0.42916666666666664,0.4251748251748252,0.45763668430335097,False
dominance,4,120,480,0.36875,0.32887578387806804,0.4196055796055796,0.65625,0.4234758871701547,0.563059163059163,False
dominance,5,120,480,0.48541666666666666,0.4732328909544099,0.5266666666666666,0.5354166666666667,0.5129918877479059,0.5344973544973545,False
dominance,6,120,480,0.63125,0.5343100981697992,0.5413371813371813,0.4395833333333333,0.43946412214403235,0.5038576238576239,False
dominance,7,120,480,0.6041666666666666,0.4,0.4782592592592592,,,,True
dominance,8,120,480,0.6,0.45751218478491207,0.47057130004498426,0.5083333333333333,0.4257791114986111,0.3966531713900135,False
dominance,9,120,480,0.3770833333333333,0.31453134328358207,0.5753150553150553,0.7083333333333334,0.6392914653784219,0.7402789802789802,False
dominance,10,120,480,0.575,0.4999080713366428,0.5377237966711651,0.55,0.5295825771324865,0.5738551506972559,False
dominance,11,120,480,0.6875,0.4074074074074074,0.42915151515151523,0.6583333333333333,0.615625,0.6823434343434344,False
dominance,12,120,480,0.5104166666666666,0.36285225289343026,0.5473090277777778,0.5833333333333334,0.563628429607811,0.6386284722222223,False
dominance,13,120,480,0.5666666666666667,0.5593142534296156,0.584400871459695,0.4625,0.39718452462080645,0.4005751633986928,False
dominance,14,120,480,0.49166666666666664,0.40848484848484845,0.47524183006535947,0.5020833333333333,0.4682956446776264,0.5535511982570807,False
dominance,15,120,480,0.5979166666666667,0.48468919482686695,0.5797390913180387,0.5833333333333334,0.5827465706983779,0.6348717948717949,False
dominance,16,120,480,0.45,0.4120158132110841,0.46218694885361555,0.4583333333333333,0.4545454545454546,0.4866666666666666,False
dominance,17,120,480,0.75625,0.4544977707841595,0.3713333333333333,0.5708333333333333,0.38062188369121297,0.22666666666666668,False
dominance,18,120,480,0.80625,0.485471247939695,0.6106837606837607,,,,True
dominance,19,120,480,0.42291666666666666,0.4177996715927751,0.4521097615834458,0.5354166666666667,0.45228750812307156,0.4859559154295996,False
dominance,20,120,480,0.38333333333333336,0.3628813832935732,0.38357174988753934,0.49375,0.4516503612883208,0.44725146198830407,False
dominance,21,120,480,0.575,0.39852579852579856,0.45927125506072874,0.5,0.4982928018953383,0.48746738641475484,False
dominance,22,120,480,0.6416666666666667,0.6218048557031608,0.6781286549707601,0.5395833333333333,0.5260879471405787,0.5313180386864598,False
dominance,23,120,480,0.7604166666666666,0.4782164834437712,0.4807111111111111,0.66875,0.5356280156494332,0.531047619047619,False
dominance,24,120,480,0.5145833333333333,0.4513101540001276,0.4599294532627866,0.5895833333333333,0.5496091945263419,0.5890123456790124,False
dominance,25,120,480,0.6979166666666666,0.45351329705792287,0.4692592592592592,0.9104166666666667,0.49872495446265935,0.5044444444444445,False
dominance,26,120,480,0.5958333333333333,0.5188492063492064,0.5447413405308141,0.54375,0.42654832497777,0.457795771479982,False
dominance,28,120,480,0.5166666666666667,0.39676280037268963,0.37365656565656563,0.5166666666666667,0.46120647945656174,0.41193939393939394,False
dominance,29,120,480,0.65625,0.41829292476735386,0.5495719095719096,0.5104166666666666,0.5102444869941256,0.6231265031265031,False
dominance,30,120,480,0.5729166666666666,0.517247131201829,0.5136296296296297,0.5208333333333334,0.4748758538023935,0.4632222222222222,False
dominance,31,120,480,0.4895833333333333,0.48279274326553046,0.5010370370370371,0.5729166666666666,0.46819722100620975,0.5858649237472767,False
dominance,32,120,480,0.9291666666666667,0.4816414686825054,0.5025185185185186,0.6791666666666667,0.4546098453547397,0.5225925925925925,False
liking,2,120,480,0.6645833333333333,0.47385262699228614,0.6038989898989899,0.6375,0.6158304355025667,0.6692525252525252,False
liking,3,120,480,0.675,0.5713893213664255,0.6408831908831909,0.7979166666666667,0.5059370324387992,0.5980626780626781,False
liking,4,120,480,0.6208333333333333,0.38816674137158225,0.43272222222222234,0.3770833333333333,0.29588727916754565,0.5801481481481481,False
liking,5,120,480,0.5291666666666667,0.44385202198343043,0.48268077601410936,0.525,0.41776084782192335,0.4863139329805997,False
liking,6,120,480,0.7416666666666667,0.4411057692307692,0.48270833333333335,0.59375,0.5114593065436268,0.5440972222222222,False
liking,7,120,480,0.9041666666666667,0.474835886214442,0.5376245210727969,,,,True
liking,8,120,480,0.7916666666666666,0.48663101604278075,0.5191440329218107,0.825,0.4745621351125938,0.3811687242798354,False
liking,9,120,480,0.6333333333333333,0.46725860155382903,0.44068571428571424,0.55,0.4621402336535868,0.4525206349206349,False
liking,10,120,480,0.6375,0.47331248108162643,0.48272678475577036,0.7229166666666667,0.5653565179501494,0.6533548040794419,False
liking,11,120,480,0.5020833333333333,0.3379463177880759,0.525,0.5875,0.5687840290381125,0.58390625,False
liking,12,120,480,0.5583333333333333,0.45622435020519836,0.5709581646423751,0.6083333333333333,0.6016878829075372,0.6516239316239316,False
liking,13,120,480,0.6770833333333334,0.4158245589239865,0.4898787878787879,0.5375,0.535920841753188,0.6568686868686868,False
liking,14,120,480,0.71875,0.41818181818181815,0.5282232957595278,0.6166666666666667,0.5259259259259259,0.5583252818035427,False
liking,15,120,480,0.6854166666666667,0.40667490729295425,0.48808080808080806,0.6604166666666667,0.5647893199833125,0.5986262626262626,False
liking,16,120,480,0.5083333333333333,0.4319640564826701,0.5651764705882354,0.5625,0.5418098510882016,0.5920348583877995,False
liking,17,120,480,0.6020833333333333,0.5022125695669879,0.5465,0.5541666666666667,0.5127134724857685,0.5577407407407406,False
liking,18,120,480,0.5916666666666667,0.3717277486910995,0.6019253261358524,0.5208333333333334,0.5194233079695635,0.5836437246963562,False
liking,19,120,480,0.6791666666666667,0.48653830124197717,0.5898989898989898,0.6229166666666667,0.542734435444397,0.5433131313131313,False
liking,20,120,480,0.7520833333333333,0.4671592085747069,0.5161805555555555,0.5979166666666667,0.5060543532159253,0.5122453703703704,False
liking,21,120,480,0.5833333333333334,0.4065135141818541,0.4452222222222223,0.5166666666666667,0.46435786435786436,0.4317777777777778,False
liking,22,120,480,0.4375,0.30434782608695654,0.48604938271604936,0.41041666666666665,0.39566232899566234,0.372663139329806,False
