title:unconcerned, start timestamp:1741764852.494637, stop timestamp:1741764889.809570, headset type:EPOCX, headset serial:E502023B, headset firmware:730, channels:55, sampling rate:eeg_128, samples:4780      , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4
1741764871.171624,1741764871.343811,102.000000,0.000000,4425.512695,4379.487305,4413.717773,4445.128418,4356.538574,4293.205078,4337.563965,4345.641113,4318.974121,4313.846191,4550.641113,4607.179688,4454.487305,4571.538574,5773.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764871.179432,1741764871.351619,103.000000,0.000000,4433.461426,4378.974121,4420.769043,4441.025879,4356.410156,4297.051270,4345.641113,4360.384766,4333.461426,4326.410156,4567.307617,4623.717773,4466.538574,4590.769043,6481.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764871.187240,1741764871.359527,104.000000,0.000000,4416.410156,4351.666504,4413.589844,4440.384766,4349.487305,4287.563965,4334.230957,4353.846191,4332.307617,4332.179688,4554.487305,4611.410156,4463.461426,4580.641113,6673.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764871.195048,1741764871.367336,105.000000,0.000000,4408.077148,4354.102539,4407.307617,4441.025879,4339.615234,4286.282227,4328.077148,4339.358887,4316.666504,4321.538574,4532.820313,4602.179688,4454.871582,4574.487305,6927.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764871.202856,1741764871.375144,106.000000,0.000000,4415.256348,4377.436035,4403.461426,4428.461426,4345.641113,4291.153809,4332.436035,4342.179688,4306.153809,4308.717773,4541.410156,4602.563965,4457.820313,4589.615234,5773.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764871.210664,1741764871.382852,107.000000,0.000000,4412.563965,4367.307617,4398.846191,4420.128418,4349.615234,4291.282227,4336.794922,4343.974121,4300.000000,4301.153809,4545.384766,4585.384766,4451.153809,4584.358887,6481.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764871.218472,1741764871.390660,108.000000,0.000000,4403.717773,4352.179688,4398.589844,4422.820313,4342.179688,4287.948730,4335.512695,4338.846191,4306.794922,4305.769043,4523.461426,4577.692383,4435.769043,4573.333496,6673.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764871.226281,1741764871.398368,109.000000,0.000000,4404.871582,4366.666504,4399.230957,4420.384766,4345.641113,4288.077148,4333.333496,4346.538574,4329.487305,4322.051270,4528.974121,4591.282227,4442.436035,4585.897461,6927.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764871.234089,1741764871.406176,110.000000,0.000000,4407.948730,4370.128418,4405.641113,4417.563965,4354.871582,4298.589844,4348.717773,4365.256348,4348.974121,4332.436035,4556.538574,4598.974121,4450.641113,4585.641113,5773.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741764871.241897,1741764871.413884,111.000000,0.000000,4403.974121,4359.871582,4408.974121,4418.974121,4351.410156,4303.974121,4355.256348,4371.025879,4352.179688,4327.563965,4550.641113,4598.333496,4441.025879,4565.512695,6481.000000,3.000000,72.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
