title:angry, start timestamp:1741771332.638677, stop timestamp:1741771337.549973, headset type:EPOCX, headset serial:E502023B, headset firmware:730, channels:55, sampling rate:eeg_128, samples:630       , version:2.2, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4
1741771332.818264,1741771332.819347,7.000000,0.000000,4332.563965,4326.410156,4338.717773,4313.205078,4298.461426,4298.333496,4316.794922,4296.410156,4417.820313,4227.563965,4465.000000,4436.794922,4353.205078,4420.128418,3779.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.826072,1741771332.827156,8.000000,0.000000,4323.077148,4314.615234,4330.256348,4303.589844,4295.128418,4295.512695,4319.743652,4292.436035,4412.692383,4223.846191,4459.743652,4432.692383,4347.692383,4405.000000,4200.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.833880,1741771332.834964,9.000000,0.000000,4315.641113,4306.282227,4331.794922,4296.538574,4289.871582,4288.205078,4313.974121,4294.102539,4407.820313,4221.153809,4459.871582,4430.384766,4345.000000,4399.358887,5495.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.841688,1741771332.842672,10.000000,0.000000,4335.384766,4324.487305,4358.717773,4311.410156,4293.205078,4274.871582,4312.051270,4303.717773,4406.153809,4232.051270,4470.769043,4443.077148,4353.333496,4421.153809,6103.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.849496,1741771332.850480,11.000000,0.000000,4376.025879,4351.410156,4387.307617,4335.897461,4301.666504,4267.051270,4311.794922,4301.282227,4402.948730,4247.948730,4486.025879,4457.051270,4369.358887,4449.230957,6232.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.857304,1741771332.858189,12.000000,0.000000,4394.358887,4354.743652,4396.153809,4346.282227,4305.641113,4269.230957,4305.897461,4300.769043,4404.615234,4251.666504,4493.333496,4464.743652,4379.230957,4455.769043,6027.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.865112,1741771332.866097,13.000000,0.000000,4374.487305,4341.153809,4384.358887,4337.820313,4300.641113,4263.333496,4294.615234,4300.897461,4406.922852,4241.153809,4480.128418,4457.051270,4367.051270,4439.743652,4485.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.872920,1741771332.873905,14.000000,0.000000,4348.974121,4331.153809,4367.179688,4325.512695,4294.871582,4258.846191,4294.871582,4293.461426,4406.538574,4227.307617,4462.179688,4439.230957,4350.256348,4424.743652,6103.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.880729,1741771332.881813,15.000000,0.000000,4337.307617,4321.794922,4354.358887,4316.282227,4293.974121,4263.846191,4304.487305,4300.128418,4421.794922,4216.282227,4455.000000,4443.717773,4344.102539,4416.922852,6232.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
1741771332.888537,1741771332.889621,16.000000,0.000000,4333.333496,4311.153809,4341.282227,4305.897461,4286.410156,4257.563965,4303.077148,4295.256348,4440.128418,4204.358887,4444.871582,4435.769043,4331.153809,4400.256348,0.000000,2.000000,48.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,
